No;Kode Wilayah;Wilayah;Tahun;Judul Kegiatan;Jumlah Dokumen
1;32.04;Kab Bandung;2021;Pengkajian Kebutuhan Pasca Benca (JITUPASNA) Banjir Bandang Desa Penyadap Kecamatan Solokanjeruk;1
2;32.04;Kab Bandung;2021;Pengkajian Kebutuhan Pasca Bencana (JITUPASNA) Gerakan Tanah, Desa Buninagara Kecamatan Kutawaringin;1
3;32.04;Kab Bandung;2022;Penyusunan Pengkajian Kebutuhan Pasca Benca (JITUPASNA) Banjir Bandang;1
4;32.04;Kab Bandung;2022;Pengkajian Pemulihan Pascabencana Gerakan Tanah/Longsor Di Desa Sukaluyu, Kecamatan Pangalengan;1
5;32.04;Kab Bandung;2022;Penyusunan Rencana Kesinambungan Pemulihan Pasca Bencana di Hunian Tetap Desa Tribaktimulya, Kecamatan Pangalengan;1
6;32.04;Kab Bandung;2022;Kajian Pemulihan Pasca Bencana Banjir Di Kecamatan Baleendah, Kecamatan Dayeuhkolot dan Kecamatan Bojongsoang;1
7;32.04;Kab Bandung;2023;Pengkajian Kebutuhan Pasca Bencana (JITUPASNA) Alam Kabupaten Bandung Caturwulan I;1
8;32.04;Kab Bandung;2023;Pengkajian Kebutuhan Pasca Benca (JITUPASNA) Alam di Kabupaten Bandung Caturwulan II;1
9;32.04;Kab Bandung;2024;Pengkajian Kebutuhan Pascabencana JITUPASNA Angin Puting Beliung di Kec. Rancaekek, Kec. Cicalengka, dan Kec, Cileunyi;1
10;32.04;Kab Bandung;2024;Pengkajian Kebutuhan Pasca Bencana (JITUPASNA) Gempa Bumi di Wilayah Kabupaten Bandung Tahun Anggaran 2024;1
